0,-0.206 -1.653  0.424,0,  28.842  8.07076 -46.8443,  2.55575 -0.207477   1.14705
-0.207477   2.74112  -0.37468
  1.14705  -0.37468   1.68066
1,-1.158  0.406   0.66,0,  28.842  8.07076 -46.8443,  2.55575 -0.207477   1.14705
-0.207477   2.74112  -0.37468
  1.14705  -0.37468   1.68066
2,0.602 0.657 -0.77,0,  28.842  8.07076 -46.8443,  2.55575 -0.207477   1.14705
-0.207477   2.74112  -0.37468
  1.14705  -0.37468   1.68066
3, 0.518 -0.021 -1.993,0,  28.842  8.07076 -46.8443,  2.55575 -0.207477   1.14705
-0.207477   2.74112  -0.37468
  1.14705  -0.37468   1.68066
4,-0.934 -0.423  0.111,0,  28.842  8.07076 -46.8443,  2.55575 -0.207477   1.14705
-0.207477   2.74112  -0.37468
  1.14705  -0.37468   1.68066
5, 0.401  0.158 -0.084,0,  28.842  8.07076 -46.8443,  2.55575 -0.207477   1.14705
-0.207477   2.74112  -0.37468
  1.14705  -0.37468   1.68066
6, 1.504   0.16 -1.641,0,  28.842  8.07076 -46.8443,  2.55575 -0.207477   1.14705
-0.207477   2.74112  -0.37468
  1.14705  -0.37468   1.68066
7, 0.148  0.411 -1.352,0,  28.842  8.07076 -46.8443,  2.55575 -0.207477   1.14705
-0.207477   2.74112  -0.37468
  1.14705  -0.37468   1.68066
8, 0.215 -0.166 -0.421,0,  28.842  8.07076 -46.8443,  2.55575 -0.207477   1.14705
-0.207477   2.74112  -0.37468
  1.14705  -0.37468   1.68066
9,-0.317 -0.732 -1.407,0,  28.842  8.07076 -46.8443,  2.55575 -0.207477   1.14705
-0.207477   2.74112  -0.37468
  1.14705  -0.37468   1.68066
