0,0,0.021794
0,0.5,0.0285174
0,1,0.0296346
0,1.5,0.0242401
0,2,0.0165549
0,2.5,0.00951163
0,3,0.00500444
0,3.5,0.00255373
0,4,0.00135279
0,4.5,0.000784887
0,5,0.00050128
0,5.5,0.000346314
0,6,0.000252026
0,6.5,0.000185628
0,7,0.000126805
0,7.5,7.8687e-05
0,8,5.16277e-05
0,8.5,3.90892e-05
0,9,3.23881e-05
0.5,0,0.0288966
0.5,0.5,0.0415483
0.5,1,0.047067
0.5,1.5,0.0409894
0.5,2,0.0281048
0.5,2.5,0.0161235
0.5,3,0.00831623
0.5,3.5,0.004144
0.5,4,0.00216277
0.5,4.5,0.00125911
0.5,5,0.000820325
0.5,5.5,0.000580038
0.5,6,0.000424629
0.5,6.5,0.000303437
0.5,7,0.000201515
0.5,7.5,0.000131933
0.5,8,9.4583e-05
0.5,8.5,7.28976e-05
0.5,9,5.7821e-05
1,0,0.0299382
1,0.5,0.0468153
1,1,0.0580561
1,1.5,0.0548528
1,2,0.039895
1,2.5,0.0236296
1,3,0.012328
1,3.5,0.00615944
1,4,0.00322858
1,4.5,0.00191384
1,5,0.00128842
1,5.5,0.000937434
1,6,0.000687164
1,6.5,0.000478757
1,7,0.000319603
1,7.5,0.000222453
1,8,0.000163975
1,8.5,0.000121751
1,9,8.95235e-05
1.5,0,0.0245743
1.5,0.5,0.0407504
1.5,1,0.0547814
1.5,1.5,0.0566744
1.5,2,0.04497
1.5,2.5,0.0286534
1.5,3,0.015819
1.5,3.5,0.0082803
1.5,4,0.00454261
1.5,4.5,0.00284092
1.5,5,0.00202458
1.5,5.5,0.00152468
1.5,6,0.00111192
1.5,6.5,0.000759594
1.5,7,0.000515664
1.5,7.5,0.000365776
1.5,8,0.00025932
1.5,8.5,0.000178999
1.5,9,0.000120189
2,0,0.0164579
2,0.5,0.0280363
2,1,0.0399719
2,1.5,0.0450399
2,2,0.0396373
2,2.5,0.0282599
2,3,0.0174717
2,3.5,0.0102357
2,4,0.00629617
2,4.5,0.00439747
2,5,0.00341546
2,5.5,0.00266904
