0,0.00133238
0.05,0.00140957
0.1,0.0014921
0.15,0.0015804
0.2,0.00167491
0.25,0.00177612
0.3,0.00188457
0.35,0.00200082
0.4,0.00212551
0.45,0.00225932
0.5,0.00240298
0.55,0.0025573
0.6,0.00272314
0.65,0.00290146
0.7,0.00309328
0.75,0.00329974
0.8,0.00352205
0.85,0.00376154
0.9,0.00401967
0.95,0.00429799
1,0.00459824
1.05,0.00492227
1.1,0.00527212
1.15,0.00564999
1.2,0.00605829
1.25,0.00649963
1.3,0.00697684
1.35,0.007493
1.4,0.00805145
1.45,0.0086558
1.5,0.00930997
1.55,0.0100182
1.6,0.010785
1.65,0.0116154
1.7,0.0125145
1.75,0.0134881
1.8,0.0145423
1.85,0.0156834
1.9,0.0169185
1.95,0.0182546
2,0.0196996
2.05,0.0212615
2.1,0.0229488
2.15,0.0247702
2.2,0.0267347
2.25,0.0288516
2.3,0.0311305
2.35,0.0335807
2.4,0.0362117
2.45,0.0390328
2.5,0.042053
2.55,0.0452807
2.6,0.0487237
2.65,0.052389
2.7,0.0562824
2.75,0.0604083
2.8,0.0647699
2.85,0.0693681
2.9,0.0742019
2.95,0.0792681
3,0.0845608
3.05,0.0900713
3.1,0.095788
3.15,0.101696
3.2,0.107778
3.25,0.114011
3.3,0.120373
3.35,0.126835
3.4,0.133366
3.45,0.139933
3.5,0.146502
3.55,0.153033
3.6,0.159488
3.65,0.165828
3.7,0.172011
3.75,0.177999
3.8,0.183751
3.85,0.189232
3.9,0.194406
3.95,0.199243
4,0.203712
4.05,0.207792
4.1,0.211462
4.15,0.214708
4.2,0.21752
4.25,0.219893
4.3,0.221829
4.35,0.223331
4.4,0.224412
4.45,0.225084
4.5,0.225367
4.55,0.225282
4.6,0.224854
4.65,0.224111
4.7,0.223081
4.75,0.221795
4.8,0.220285
4.85,0.218581
4.9,0.216716
4.95,0.214719
5,0.212622
5.05,0.210453
5.1,0.208238
5.15,0.206004
5.2,0.203774
5.25,0.20157
5.3,0.199411
5.35,0.197315
5.4,0.195297
5.45,0.19337
5.5,0.191544
5.55,0.18983
5.6,0.188232
5.65,0.186756
5.7,0.185404
5.75,0.184176
5.8,0.183071
5.85,0.182086
5.9,0.181213
5.95,0.180448
6,0.17978
6.05,0.179199
6.1,0.178694
6.15,0.178251
6.2,0.177855
6.25,0.177492
6.3,0.177145
6.35,0.176796
6.4,0.176428
6.45,0.176024
6.5,0.175565
6.55,0.175034
6.6,0.174413
6.65,0.173685
6.7,0.172835
6.75,0.171847
6.8,0.170708
6.85,0.169406
6.9,0.167929
6.95,0.16627
7,0.164421
7.05,0.162377
7.1,0.160134
7.15,0.157694
7.2,0.155056
7.25,0.152223
7.3,0.149202
7.35,0.146
7.4,0.142625
7.45,0.139089
7.5,0.135403
7.55,0.131582
7.6,0.12764
7.65,0.123593
7.7,0.119458
7.75,0.115251
7.8,0.11099
7.85,0.106692
7.9,0.102374
7.95,0.0980538
8,0.0937474
8.05,0.0894707
8.1,0.0852386
8.15,0.0810653
8.2,0.0769638
8.25,0.0729463
8.3,0.0690233
8.35,0.0652047
8.4,0.0614988
8.45,0.0579127
8.5,0.0544524
8.55,0.0511227
8.6,0.0479271
8.65,0.0448682
8.7,0.0419474
8.75,0.0391652
8.8,0.0365214
8.85,0.0340146
8.9,0.031643
8.95,0.029404
9,0.0272946
9.05,0.025311
9.1,0.0234493
9.15,0.0217052
9.2,0.020074
9.25,0.0185511
9.3,0.0171314
9.35,0.0158099
9.4,0.0145817
9.45,0.0134417
9.5,0.012385
9.55,0.0114066
9.6,0.0105019
9.65,0.00966604
9.7,0.00889472
9.75,0.00818359
9.8,0.00752851
9.85,0.00692555
9.9,0.00637097
9.95,0.00586124
